SWC,SWC name,tool,finding,Unnamed: 4,discription,collector
113,,smartcheck,SOLIDITY_ADDRESS_HARDCODED,,合同包含未知地址。如果一个硬编码的地址不再有效，调用该地址可能会导致合约执行失败。,罗碧文
133,,smartcheck,SOLIDITY_ARRAY_LENGTH_MANIPULATION,,动态数组的长度直接更改。在这种情况下，可能会出现巨大的阵列，并可能导致存储重叠攻击（与存储中的其他数据发生冲突）。,罗碧文
132,,smartcheck,SOLIDITY_BALANCE_EQUALITY,,避免检查严格的平衡等式：对手可以通过selfdestruct()或挖掘将以太币强制发送到任何地址。,罗碧文
,,smartcheck,SOLIDITY_BYTE_ARRAY_INSTEAD_BYTES,,使用bytes而不是byte[]以降低gas消耗。,罗碧文
,,smartcheck,SOLIDITY_CALL_WITHOUT_DATA,,使用不提供参数的低级call()函数。,罗碧文
,,smartcheck,SOLIDITY_CONSTRUCTOR_RETURN,,return语句用于合约的构造函数。随着return，部署的过程将不同于直观的过程。例如，部署的字节码可能不包括在源代码中实现的函数。,罗碧文
,,smartcheck,SOLIDITY_DELETE_ON_DYNAMIC_ARRAYS,,对动态大小的存储阵列应用delete或.length=0可能会导致Out of Gas异常。,罗碧文
111,,smartcheck,SOLIDITY_DEPRECATED_CONSTRUCTIONS,,"使用废弃的函数：years, sha3, suicide, throw ,constant ",罗碧文
,,smartcheck,SOLIDITY_DIV_MUL,,Solidity只对整数进行运算。因此，如果在乘法之前进行除法，舍入误差可能会急剧增加。,罗碧文
,,smartcheck,SOLIDITY_DO_WHILE_CONTINUE,,在0.5.0版本之前，Solidity编译器错误地处理do-wile循环内部的continue：它忽略while条件。,罗碧文
114,,smartcheck,SOLIDITY_ERC20_APPROVE,,ERC-20的审批功能很脆弱。使用前置攻击，可以在更改允许值之前花费批准的代币。,罗碧文
,,smartcheck,SOLIDITY_ERC20_FUNCTIONS_ALWAYS_RETURN_FALSE,,transfer、transferFrom或approve函数对于输入参数的任何值都不返回true。,罗碧文
,,smartcheck,SOLIDITY_ERC20_INDEXED,,ERC-20令牌标准的Transfer和Approve事件的地址参数必须编入索引。,罗碧文
,,smartcheck,SOLIDITY_ERC20_TRANSFER_SHOULD_THROW,,ERC-20代币标准的功能在特殊情况下应抛出：如果_from帐户余额没有足够的代币可供消费，则应抛出transfer。transferFrom应该抛出，除非_from帐户通过某种机制故意授权消息的发送者,罗碧文
116,,smartcheck,SOLIDITY_EXACT_TIME,,与block.timestamp或now进行严格比较。矿工可以影响block.timestamp以获得好处。因此，不应该依赖block.timestamp的确切值。,罗碧文
,,smartcheck,SOLIDITY_EXTRA_GAS_IN_LOOPS,,"在for或while循环的条件下使用了非内存数组的状态变量、.balance, or .length。在这种情况下，循环的每次迭代都会消耗额外的gas。",罗碧文
,,smartcheck,SOLIDITY_FUNCTION_RETURNS_TYPE_AND_NO_RETURN,,函数未初始化返回值。结果将返回默认值。,罗碧文
,,smartcheck,SOLIDITY_GAS_LIMIT_IN_LOOPS,,循环中的gas限制。以太坊是一个资源非常有限的环境。每个计算步骤的价格比集中式提供商高出几个数量级。此外，以太坊矿工对区块内消耗的gas总量进行了限制。如果array.length足够大，则该函数将超过区块的gas限制，调用它的事务将永远不会得到确认.如果外部参与者影响数组长度，这将成为一个安全问题。,罗碧文
,,smartcheck,SOLIDITY_INCORRECT_BLOCKHASH,,blockhash函数只为最后256个块返回一个非零值。此外，它总是为当前块返回0，即blockhash（block.number）总是等于0。,罗碧文
